                      A	      TK_WITH      TK_THEN      TK_TYPE        TK_EQ    TK_DOLLAR     TK_COMMA      TK_RNUM        TK_CL       TK_AND TK_PARAMETER       TK_DIV        TK_ID    TK_GLOBAL        TK_GE      TK_LIST        TK_IF    TK_RECORD       TK_NUM        TK_NE        TK_LE       TK_DOT     TK_INPUT      TK_MAIN      TK_CALL      TK_PLUS      TK_ELSE   TK_COMMENT  TK_ASSIGNOP     TK_WRITE     TK_COLON     TK_WHILE      TK_REAL      TK_READ       TK_NOT       TK_SQL    TK_OUTPUT       TK_SQR     TK_ENDIF     TK_MINUS       TK_SEM   TK_FIELDIDTK_PARAMETERS        TK_OP  TK_ENDWHILE       TK_MUL     TK_FUNID       TK_INT    TK_RETURN        TK_GT       TK_END        TK_LT        TK_OR TK_ENDRECORD          eps  TK_RECORDID
          iterativeStmt	           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1            0           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1            0           -1            0           -1           -1            0           -1           45           -1            0           -1            0           -1           -1            0           -1           -1           -1           -1           -1            0           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1
         otherFunctions	           -1           -1           -1           -1            4           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            4           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            3           -1           -1           -1           -1           -1           -1           -1            4           -1
                 factor	           -1           -1           -1           -1            0           -1           62            0           -1           -1            0           62           -1           -1           -1           -1           -1           62           -1           -1           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            0            0           -1           -1           63           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1
                 allnew	           -1           -1           -1           -1           72           -1           -1           72           -1           -1           72           -1           -1           -1           -1           -1           -1           -1           -1           -1           71           -1           -1           -1           72           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           72           72           -1           -1           -1           -1           72           -1           -1           -1           -1           -1           -1           -1           -1           72           -1
                 new_24	           -1           -1           -1           -1           40           -1           -1           40           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           39           -1           -1           -1           -1           -1           -1           40           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           40           -1
               function	           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            5           -1           -1           -1           -1           -1           -1           -1           -1           -1
   arithmeticExpression	           -1           -1           -1           -1            0           -1           56            0           -1           -1           -1           56           -1           -1           -1           -1           -1           56           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            0           -1           -1           56           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1
                    var	           -1           -1           -1            0            0           -1           80           -1           -1           -1           -1           78           -1            0           -1           -1           -1           79            0            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            0           -1            0           -1           -1           -1           -1
       fieldDefinitions	           -1           -1           21           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            0           -1           -1
                 allVar	           -1           -1           -1           -1            0           -1           52            0           -1           -1           -1           51           -1           -1           -1           -1           -1           53           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1
